Zipcode,State,City,County,Country
10537,NY,LAKE PEEKSKILL,PUTNAM,USA
10538,NY,LARCHMONT,WESTCHESTER,USA
10540,NY,LINCOLNDALE,WESTCHESTER,USA
10541,NY,MAHOPAC,PUTNAM,USA
10542,NY,MAHOPAC FALLS,PUTNAM,USA
10543,NY,MAMARONECK,WESTCHESTER,USA
10545,NY,MARYKNOLL,WESTCHESTER,USA
10546,NY,MILLWOOD,WESTCHESTER,USA
10547,NY,MOHEGAN LAKE,WESTCHESTER,USA
10548,NY,MONTROSE,WESTCHESTER,USA
10549,NY,MOUNT KISCO,WESTCHESTER,USA
10550,NY,MOUNT VERNON,WESTCHESTER,USA
10552,NY,MOUNT VERNON,WESTCHESTER,USA
10553,NY,MOUNT VERNON,WESTCHESTER,USA
10560,NY,NORTH SALEM,WESTCHESTER,USA
10562,NY,OSSINING,WESTCHESTER,USA
10566,NY,PEEKSKILL,WESTCHESTER,USA
10567,NY,CORTLANDT MANOR,WESTCHESTER,USA
10570,NY,PLEASANTVILLE,WESTCHESTER,USA
10573,NY,PORT CHESTER,WESTCHESTER,USA
10576,NY,POUND RIDGE,WESTCHESTER,USA
10577,NY,PURCHASE,WESTCHESTER,USA
10578,NY,PURDYS,WESTCHESTER,USA
10579,NY,PUTNAM VALLEY,PUTNAM,USA
10580,NY,RYE,WESTCHESTER,USA
10583,NY,SCARSDALE,WESTCHESTER,USA
10588,NY,SHRUB OAK,WESTCHESTER,USA
10589,NY,SOMERS,WESTCHESTER,USA
10590,NY,SOUTH SALEM,WESTCHESTER,USA
10591,NY,TARRYTOWN,WESTCHESTER,USA
10594,NY,THORNWOOD,WESTCHESTER,USA
10595,NY,VALHALLA,WESTCHESTER,USA
10596,NY,VERPLANCK,WESTCHESTER,USA
10597,NY,WACCABUC,WESTCHESTER,USA
10598,NY,YORKTOWN HEIGHTS,WESTCHESTER,USA
10601,NY,WHITE PLAINS,WESTCHESTER,USA
10603,NY,WHITE PLAINS,WESTCHESTER,USA
10604,NY,WEST HARRISON,WESTCHESTER,USA
10605,NY,WHITE PLAINS,WESTCHESTER,USA
10606,NY,WHITE PLAINS,WESTCHESTER,USA
10607,NY,WHITE PLAINS,WESTCHESTER,USA
10701,NY,YONKERS,WESTCHESTER,USA
10703,NY,YONKERS,WESTCHESTER,USA
10704,NY,YONKERS,WESTCHESTER,USA
10705,NY,YONKERS,WESTCHESTER,USA
10706,NY,HASTINGS ON HUDSON,WESTCHESTER,USA
10707,NY,TUCKAHOE,WESTCHESTER,USA
10708,NY,BRONXVILLE,WESTCHESTER,USA
10709,NY,EASTCHESTER,WESTCHESTER,USA
10710,NY,YONKERS,WESTCHESTER,USA
10801,NY,NEW ROCHELLE,WESTCHESTER,USA
10803,NY,PELHAM,WESTCHESTER,USA
10804,NY,NEW ROCHELLE,WESTCHESTER,USA
10805,NY,NEW ROCHELLE,WESTCHESTER,USA
10901,NY,SUFFERN,ROCKLAND,USA
10910,NY,ARDEN,ORANGE,USA
10911,NY,BEAR MOUNTAIN,ROCKLAND,USA
10913,NY,BLAUVELT,ROCKLAND,USA
10914,NY,BLOOMING GROVE,ORANGE,USA
10915,NY,BULLVILLE,ORANGE,USA
10916,NY,CAMPBELL HALL,ORANGE,USA
10917,NY,CENTRAL VALLEY,ORANGE,USA
10918,NY,CHESTER,ORANGE,USA
10919,NY,CIRCLEVILLE,ORANGE,USA
10920,NY,CONGERS,ROCKLAND,USA
10921,NY,FLORIDA,ORANGE,USA
10922,NY,FORT MONTGOMERY,ORANGE,USA
10923,NY,GARNERVILLE,ROCKLAND,USA
10924,NY,GOSHEN,ORANGE,USA
10925,NY,GREENWOOD LAKE,ORANGE,USA
10926,NY,HARRIMAN,ORANGE,USA
10927,NY,HAVERSTRAW,ROCKLAND,USA
10928,NY,HIGHLAND FALLS,ORANGE,USA
10930,NY,HIGHLAND MILLS,ORANGE,USA
10931,NY,HILLBURN,ROCKLAND,USA
10932,NY,HOWELLS,ORANGE,USA
10933,NY,JOHNSON,ORANGE,USA
10940,NY,MIDDLETOWN,ORANGE,USA
10941,NY,MIDDLETOWN,ORANGE,USA
10950,NY,MONROE,ORANGE,USA
10952,NY,MONSEY,ROCKLAND,USA
10953,NY,MOUNTAINVILLE,ORANGE,USA
10954,NY,NANUET,ROCKLAND,USA
10956,NY,NEW CITY,ROCKLAND,USA
10958,NY,NEW HAMPTON,ORANGE,USA
10960,NY,NYACK,ROCKLAND,USA
10962,NY,ORANGEBURG,ROCKLAND,USA
10963,NY,OTISVILLE,ORANGE,USA
10964,NY,PALISADES,ROCKLAND,USA
10965,NY,PEARL RIVER,ROCKLAND,USA
10968,NY,PIERMONT,ROCKLAND,USA
10969,NY,PINE ISLAND,ORANGE,USA
10970,NY,POMONA,ROCKLAND,USA
10973,NY,SLATE HILL,ORANGE,USA
10974,NY,SLOATSBURG,ROCKLAND,USA
10975,NY,SOUTHFIELDS,ORANGE,USA
10976,NY,SPARKILL,ROCKLAND,USA
10977,NY,SPRING VALLEY,ROCKLAND,USA
10979,NY,STERLING FOREST,ORANGE,USA
10980,NY,STONY POINT,ROCKLAND,USA
10983,NY,TAPPAN,ROCKLAND,USA
10984,NY,THIELLS,ROCKLAND,USA
10985,NY,THOMPSON RIDGE,ORANGE,USA
10986,NY,TOMKINS COVE,ROCKLAND,USA
10987,NY,TUXEDO PARK,ORANGE,USA
10988,NY,UNIONVILLE,ORANGE,USA
10989,NY,VALLEY COTTAGE,ROCKLAND,USA
10990,NY,WARWICK,ORANGE,USA
10992,NY,WASHINGTONVILLE,ORANGE,USA
10993,NY,WEST HAVERSTRAW,ROCKLAND,USA
10994,NY,WEST NYACK,ROCKLAND,USA
10996,NY,WEST POINT,ORANGE,USA
10998,NY,WESTTOWN,ORANGE,USA
11001,NY,FLORAL PARK,NASSAU,USA
11003,NY,ELMONT,NASSAU,USA
11004,NY,GLEN OAKS,QUEENS,USA
11005,NY,FLORAL PARK,QUEENS,USA
11010,NY,FRANKLIN SQUARE,NASSAU,USA
11020,NY,GREAT NECK,NASSAU,USA
11021,NY,GREAT NECK,NASSAU,USA
11023,NY,GREAT NECK,NASSAU,USA
11024,NY,GREAT NECK,NASSAU,USA
11030,NY,MANHASSET,NASSAU,USA
11040,NY,NEW HYDE PARK,NASSAU,USA
11042,NY,NEW HYDE PARK,NASSAU,USA
11050,NY,PORT WASHINGTON,NASSAU,USA
11096,NY,INWOOD,NASSAU,USA
11101,NY,LONG ISLAND CITY,QUEENS,USA
11102,NY,ASTORIA,QUEENS,USA
11103,NY,ASTORIA,QUEENS,USA
11104,NY,SUNNYSIDE,QUEENS,USA
11105,NY,ASTORIA,QUEENS,USA
11106,NY,ASTORIA,QUEENS,USA
11109,NY,LONG ISLAND CITY,QUEENS,USA
11201,NY,BROOKLYN,KINGS,USA
11203,NY,BROOKLYN,KINGS,USA
11204,NY,BROOKLYN,KINGS,USA
11205,NY,BROOKLYN,KINGS,USA
